2014-05-12 17:28:45
Manufacturer	Model	F.Length (mm)	AFOV (*)	Barrel (")	Reticle
Vixen	LVW 22mm (Lanthanum)	22	65	1.25	
Vixen	LVW 3.5mm (Lanthanum)	3.5	65	1.25	
Vixen	LVW 5mm (Lanthanum)	5	65	1.25	
Vixen	LVW 8mm (Lanthanum)	8	65	1.25	
William Optics	SPL 12.5mm	12.5	55	1.25	
William Optics	SPL 3mm	3	55	1.25	
William Optics	SPL 6mm	6	55	1.25	
William Optics	SWAN 15mm	15	72	1.25	
William Optics	SWAN 20mm	20	72	1.25	
William Optics	SWAN 25mm	25	72	2	
William Optics	SWAN 33mm	33	72	2	
William Optics	SWAN 40mm	40	72	2	
William Optics	SWAN 9mm	9	72	1.25	
William Optics	UWAN 16mm	16	82	1.25	
William Optics	UWAN 28mm	28	82	2	
William Optics	UWAN 4mm	4	82	1.25	
William Optics	UWAN 7mm	7	82	1.25	
