https://www.astroleague.org/files/dblstar2017.pdf
a -in astro planner

[ a ]	, 66 	, Sig Corona Borealis 		,16 h  14 m .7 ,+33° 52' 
[ a ]	, 67 	, 16/17 Draconis 		,16 h  36 m .2 ,+52° 55'
[ a ]	, 68 	, Mu Draconis 			,17 h  05 m .3 ,+54° 28' 
[ a ]	, 69 	, Alp Herculis 			,17 h  14 m .6 ,+14° 23' 
[ a ]	, 70 	, Del Herculis 			,17 h  15 m .0 ,+24° 50' 
[ a ]	, 71 	, 36 Ophiuchi 			,17 h  15 m .3 ,-26° 36' 
[ a ]	, 72 	, Omicron Ophiuchi 		,17 h  18 m .0 ,-24° 17' 
[ a ]	, 73 	, Rho Herculis 			,17 h  23 m .7 ,+37° 09' 
[ a ]	, 74 	, Nu Draconis 			,17 h  32 m .2 ,+55° 11' 
[ a ]	, 75 	, Psi Draconis 			,17 h  41 m .9 ,+72° 09' 
[ a ]	, 76 	, 40/41 Draconis 		,18 h  00 m .2 ,+80° 00' 
[ a ]	, 77 	, 95 Herculis 			,18 h  01 m .5 ,+21° 36' 
[ aa ]	, 78 	, 70 Ophiuchi 			,18 h  05 m .5 ,+02° 30' 
[ aa ]	, 79 	, Eps Lyrae 			,18 h  44 m .3 ,+39° 40'
[ aa ]	, 80 	, Zet Lyrae 			,18 h  44 m .8 ,+37° 36' 
[ aa ]	, 81 	, Bet Lyrae 			,18 h  50 m .1 ,+33° 22' 
[ a ]	, 82 	, Struve 2404 			,18 h  50 m .8 ,+10° 59' 
[ aa ]	, 83 	, Otto Struve 525 		,18 h  54 m .9 ,+33° 58' 
[ aa ]	, 84 	, The Serpentis 		,18 h  56 m .2 ,+04° 12' 
[ a ]	, 85 	, Bet Cygni 			,19 h  30 m .7 ,+27° 58' 
[ a ]	, 86 	, 57 Aquilae 			,19 h  54 m .6 ,-08° 14' 
[ a ]	, 87 	, 31 Cygni 			,20 h  13 m .6 ,+46° 44'
[ a ]	, 88 	, Alp Capricornus 		,20 h  18 m .1 ,-12° 33' 
[ a ]	, 89 	, Bet Capricornus 		,20 h  21 m .0 ,-14° 47' 
[ a ]	, 90 	, Gam Delphinus 		,20 h  46 m .7 ,+16° 07' 
[ a ]	, 91 	, 61 Cygni 			,21 h  06 m .9 ,+38° 45' 
[ a ]	, 92 	, Bet Cephei 			,21 h  28 m .7 ,+70° 34' 
[ a ]	, 93 	, Struve 2816 			,21 h  39 m .0 ,+57° 29'
[ a ]	, 94 	, Eps Pegasi 			,21 h  44 m .2 ,+09° 52' 
[ a ]	, 95 	, Xi Cephei 			,22 h  03 m .8 ,+64° 38' 
[ a ]	, 96 	, Zet Aquarii 			,22 h  28 m .8 ,-00° 01' 
[ a ]	, 97 	, Del Cephei 			,22 h  29 m .2 ,+58° 25' 
[ a ]	, 98 	, 8 Lacerta 			,22 h  35 m .9 ,+39° 38' 
[ a ]	, 99 	, 94 Aquarii 			,23 h  19 m .1 ,-13° 28' 
[ a ]	, 100 	, Sig Cassiopeiae 		,23 h  59 m .0 ,+55° 45' 
